,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,audience,audience:confidence,bias,bias:confidence,message,message:confidence,orig__golden,audience_gold,bias_gold,bioid,embed,id,label,message_gold,source,text,Name,Last Name,Party
705,766193190,False,finalized,1,8/4/15 20:57,constituency,1.0,neutral,1.0,constituency,1.0,,,,C000754,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @robrobinson: Way to go, Nashville! :) Via @USATODAY: Best urban green spaces in North America http://t.co/tbvxiJWnb2</p> Jim Cooper (@repjimcooper) <a href='https://twitter.com/repjimcooper/status/369627637670756352'>2013-08-19 21:11:10</a></blockquote>",3.69628E+17,From: Jim Cooper (Representative from Tennessee),,twitter,"RT @robrobinson: Way to go, Nashville! :) Via @USATODAY: Best urban green spaces in North America http://t.co/tbvxiJWnb2",Jim Cooper,Cooper,D
710,766193195,False,finalized,1,8/4/15 20:40,national,1.0,neutral,1.0,information,1.0,,,,M000355,"<blockquote class=""twitter-tweet"" width=""450""><p>McConnell Testifies in Defense of the First AmendmentÛªs Free Speech Protections http://t.co/bSZ3M8xZct</p> Sen. McConnell Press (@McConnellPress) <a href='https://twitter.com/McConnellPress/status/473847013361336320'>2014-06-03 11:21:46</a></blockquote>",4.73847E+17,From: Mitch McConnell (Senator from Kentucky),,twitter,McConnell Testifies in Defense of the First AmendmentÛªs Free Speech Protections http://t.co/bSZ3M8xZct,Mitch McConnell,McConnell,R
712,766193197,False,finalized,1,8/4/15 21:10,constituency,1.0,partisan,1.0,constituency,1.0,,,,H001038,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @WKBW Ohio Street Project Moves Forward http://t.co/T3vcwG8jZg</p> Brian Higgins (@RepBrianHiggins) <a href='https://twitter.com/RepBrianHiggins/status/322445891107700736'>2013-04-11 16:27:45</a></blockquote>",3.22446E+17,From: Brian Higgins (Representative from New York),,twitter,RT @WKBW Ohio Street Project Moves Forward http://t.co/T3vcwG8jZg,Brian Higgins,Higgins,D
713,766193198,False,finalized,2,8/4/15 21:11,constituency,0.52,neutral,1.0,personal,1.0,,,,P000588,"<blockquote class=""twitter-tweet"" width=""450""><p>Speaking this morning to the New Mexico Association of Counties http://t.co/KrGebZe8RI</p> Steve Pearce (@RepStevePearce) <a href='https://twitter.com/RepStevePearce/status/309303388103921664'>2013-03-06 09:04:09</a></blockquote>",3.09303E+17,From: Steve Pearce (Representative from New Mexico),,twitter,Speaking this morning to the New Mexico Association of Counties http://t.co/KrGebZe8RI,Steve Pearce,Pearce,R
715,766193200,False,finalized,1,8/4/15 20:17,national,1.0,neutral,1.0,personal,1.0,,,,P000594,"<blockquote class=""twitter-tweet"" width=""450""><p>Discussed a # of issues at the Veterans Roundtable I hosted this morning including ed, jobs for vets, and the VA. http://t.co/KhTMIQPYTV</p> Rep. Erik Paulsen (@RepErikPaulsen) <a href='https://twitter.com/RepErikPaulsen/status/522787566782013440'>2014-10-16 12:34:03</a></blockquote>",5.22788E+17,From: Erik Paulsen (Representative from Minnesota),,twitter,"Discussed a # of issues at the Veterans Roundtable I hosted this morning including ed, jobs for vets, and the VA. http://t.co/KhTMIQPYTV",Erik Paulsen,Paulsen,R
716,766193201,False,finalized,1,8/4/15 20:40,national,1.0,neutral,1.0,personal,1.0,,,,C001096,"<blockquote class=""twitter-tweet"" width=""450""><p>Coffee at Barnes and Noble in Bismarck http://t.co/AzUeQy2p3J</p> Rep. Kevin Cramer (@RepKevinCramer) <a href='https://twitter.com/RepKevinCramer/status/514430102713925632'>2014-09-23 11:04:28</a></blockquote>",5.1443E+17,From: Kevin Cramer (Representative from North Dakota),,twitter,Coffee at Barnes and Noble in Bismarck http://t.co/AzUeQy2p3J,Kevin Cramer,Cramer,R
717,766193202,False,finalized,1,8/4/15 20:58,national,1.0,partisan,1.0,support,1.0,,,,K000380,"<blockquote class=""twitter-tweet"" width=""450""><p>Instead of lurching from one manufactured crisis to the next, it's time for Congress to focus on creating jobs! http://t.co/4C03y16gY3</p> Rep. Dan Kildee (@RepDanKildee) <a href='https://twitter.com/RepDanKildee/status/390910289534668801'>2013-10-17 14:40:50</a></blockquote>",3.9091E+17,From: Dan Kildee (Representative from Michigan),,twitter,"Instead of lurching from one manufactured crisis to the next, it's time for Congress to focus on creating jobs! http://t.co/4C03y16gY3",Dan Kildee,Kildee,D
718,766193203,False,finalized,2,8/4/15 20:53,national,1.0,neutral,0.5147,support,1.0,,,,H001047,"<blockquote class=""twitter-tweet"" width=""450""><p>Joined @senblumenthal at powerful gun violence prevention vigil in Stamford. Thank you Interfaith Council. http://t.co/kpj7BeQmZL</p> Jim Himes (@jahimes) <a href='https://twitter.com/jahimes/status/445360424830377984'>2014-03-16 20:46:14</a></blockquote>",4.4536E+17,From: Jim Himes (Representative from Connecticut),,twitter,Joined @senblumenthal at powerful gun violence prevention vigil in Stamford. Thank you Interfaith Council. http://t.co/kpj7BeQmZL,Jim Himes,Himes,D
719,766193204,False,finalized,1,8/4/15 21:09,national,1.0,neutral,1.0,policy,1.0,,,,M000355,"<blockquote class=""twitter-tweet"" width=""450""><p>.@KYSTATEFOP McConnell Pushes Bill to Create ÛÏBlue AlertÛ to Help Catch Suspects Who Attack Law Enforcement Officers http://t.co/Z1knWQoglt</p> Sen. McConnell Press (@McConnellPress) <a href='https://twitter.com/McConnellPress/status/382589396219748353'>2013-09-24 15:36:34</a></blockquote>",3.82589E+17,From: Mitch McConnell (Senator from Kentucky),,twitter,.@KYSTATEFOP McConnell Pushes Bill to Create ÛÏBlue AlertÛ to Help Catch Suspects Who Attack Law Enforcement Officers http://t.co/Z1knWQoglt,Mitch McConnell,McConnell,R
720,766193205,False,finalized,1,8/4/15 21:27,national,1.0,neutral,1.0,support,1.0,,,,M000639,"<blockquote class=""twitter-tweet"" width=""450""><p>News: Glad @Interior is releasing $475mil for #SandyRecovery: http://t.co/SKoQYOX4xH. As we near summer tourist season, we cont'd to rebuild</p> Sen. Robert Menendez (@SenatorMenendez) <a href='https://twitter.com/SenatorMenendez/status/332173849363902464'>2013-05-08 12:43:11</a></blockquote>",3.32174E+17,From: Robert Menendez (Senator from New Jersey),,twitter,"News: Glad @Interior is releasing $475mil for #SandyRecovery: http://t.co/SKoQYOX4xH. As we near summer tourist season, we cont'd to rebuild",Robert Menendez,Menendez,D
721,766193206,False,finalized,1,8/4/15 21:01,constituency,1.0,neutral,1.0,personal,1.0,,,,H001060,"<blockquote class=""twitter-tweet"" width=""450""><p>Our staff will hold Local Office Hrs in Lunenburg on Fri, Dec 13 to meet w/constituents who need help w/fed agencies: http://t.co/9RWdYvxb0f</p> Rep. Robert Hurt  (@RepRobertHurt) <a href='https://twitter.com/RepRobertHurt/status/410470629809217536'>2013-12-10 13:06:38</a></blockquote>",4.10471E+17,From: Robert Hurt (Representative from Virginia),,twitter,"Our staff will hold Local Office Hrs in Lunenburg on Fri, Dec 13 to meet w/constituents who need help w/fed agencies: http://t.co/9RWdYvxb0f",Robert Hurt,Hurt,R
723,766193208,False,finalized,2,8/4/15 21:14,national,1.0,neutral,1.0,information,1.0,,,,M001181,"<blockquote class=""twitter-tweet"" width=""450""><p>New @USDOL #CareerOneStop website will connect #Vets to employers http://t.co/btil03TYqW</p> Patrick Meehan (@RepMeehan) <a href='https://twitter.com/RepMeehan/status/459865577763258368'>2014-04-25 21:24:32</a></blockquote>",4.59866E+17,From: Pat Meehan (Representative from Pennsylvania),,twitter,New @USDOL #CareerOneStop website will connect #Vets to employers http://t.co/btil03TYqW,Pat Meehan,Meehan,R
725,766193210,False,finalized,1,8/4/15 21:18,constituency,1.0,neutral,1.0,policy,1.0,,,,F000461,"<blockquote class=""twitter-tweet"" width=""450""><p>We have a lot of wishes on our list and a very important one is Keystone XL. #TimeToBuild http://t.co/5dR9dj7F9H</p> Rep. Bill Flores (@RepBillFlores) <a href='https://twitter.com/RepBillFlores/status/542036167294988288'>2014-12-08 14:21:07</a></blockquote>",5.42036E+17,From: Bill Flores (Representative from Texas),,twitter,We have a lot of wishes on our list and a very important one is Keystone XL. #TimeToBuild http://t.co/5dR9dj7F9H,Bill Flores,Flores,R
727,766193212,False,finalized,1,8/4/15 20:40,national,1.0,neutral,1.0,mobilization,1.0,,,,P000606,"<blockquote class=""twitter-tweet"" width=""450""><p>Next wk @BarackObama give 6th #SOTU. I want to know what you think. Tweet me your ?s using #NC09SOTU http://t.co/5a4KFgusRJ</p> Rep Robert Pittenger (@RepPittenger) <a href='https://twitter.com/RepPittenger/status/426352566662746112'>2014-01-23 08:55:48</a></blockquote>",4.26353E+17,From: Robert Pittenger (Representative from North Carolina),,twitter,Next wk @BarackObama give 6th #SOTU. I want to know what you think. Tweet me your ?s using #NC09SOTU http://t.co/5a4KFgusRJ,Robert Pittenger,Pittenger,R
728,766193213,False,finalized,1,8/4/15 21:12,national,1.0,neutral,1.0,personal,1.0,,,,M001158,"<blockquote class=""twitter-tweet"" width=""450""><p>Read more about my Verified and Legitimate ID (VALID) Act here: http://t.co/QNg5hRMUTN (2/2)</p> Kenny Marchant (@RepKenMarchant) <a href='https://twitter.com/RepKenMarchant/status/509825501687742464'>2014-09-10 18:07:26</a></blockquote>",5.09826E+17,From: Kenny Marchant (Representative from Texas),,twitter,Read more about my Verified and Legitimate ID (VALID) Act here: http://t.co/QNg5hRMUTN (2/2),Kenny Marchant,Marchant,R
730,766193215,False,finalized,1,8/4/15 20:43,national,1.0,neutral,1.0,policy,1.0,,,,M000934,"<blockquote class=""twitter-tweet"" width=""450""><p>En route to the @WhiteHouse to meet w/ the President &amp; @Senate_GOPs. I'm hopeful discussions like these will bring this stalemate to an end.</p> Jerry Moran (@JerryMoran) <a href='https://twitter.com/JerryMoran/status/388676513316360192'>2013-10-11 10:44:36</a></blockquote>",3.88677E+17,From: Jerry Moran (Senator from Kansas),,twitter,En route to the @WhiteHouse to meet w/ the President &amp; @Senate_GOPs. I'm hopeful discussions like these will bring this stalemate to an end.,Jerry Moran,Moran,R
731,766193216,False,finalized,1,8/4/15 21:26,national,1.0,partisan,1.0,policy,1.0,,,,M001181,"<blockquote class=""twitter-tweet"" width=""450""><p>#Obamacare vexing small businesses, courtesy of @PittsburghPG http://t.co/QYZRShdZqg #TrainWreck</p> Patrick Meehan (@RepMeehan) <a href='https://twitter.com/RepMeehan/status/367671086500286464'>2013-08-14 11:36:32</a></blockquote>",3.67671E+17,From: Pat Meehan (Representative from Pennsylvania),,twitter,"#Obamacare vexing small businesses, courtesy of @PittsburghPG http://t.co/QYZRShdZqg #TrainWreck",Pat Meehan,Meehan,R
732,766193217,False,finalized,1,8/4/15 21:00,national,1.0,neutral,1.0,information,1.0,,,,M001160,"<blockquote class=""twitter-tweet"" width=""450""><p>Today in 1870, Hiram Revels became the first African American to serve in the U.S. Senate #BHM</p> Gwen Moore (@RepGwenMoore) <a href='https://twitter.com/RepGwenMoore/status/438345268061159424'>2014-02-25 11:10:30</a></blockquote>",4.38345E+17,From: Gwen Moore (Representative from Wisconsin),,twitter,"Today in 1870, Hiram Revels became the first African American to serve in the U.S. Senate #BHM",Gwen Moore,Moore,D
733,766193218,False,finalized,1,8/4/15 21:10,national,1.0,partisan,1.0,support,1.0,,,,H001061,"<blockquote class=""twitter-tweet"" width=""450""><p>Approving #KeystoneXL ""won't cost taxpayers a dime."" Read excellent @WSJ editorial on importance of pipeline http://t.co/f2Daagz2wK</p> Senator John Hoeven (@SenJohnHoeven) <a href='https://twitter.com/SenJohnHoeven/status/308650410787348481'>2013-03-04 13:49:27</a></blockquote>",3.0865E+17,From: John Hoeven (Senator from North Dakota),,twitter,"Approving #KeystoneXL ""won't cost taxpayers a dime."" Read excellent @WSJ editorial on importance of pipeline http://t.co/f2Daagz2wK",John Hoeven,Hoeven,R
736,766193221,False,finalized,1,8/4/15 21:26,national,1.0,neutral,1.0,personal,1.0,,,,D000615,"<blockquote class=""twitter-tweet"" width=""450""><p>Here's to hoping Clemson Tigers can show as much ""Get after it"" today vs NCState! Go Tigers! #Clemson #tigerfootball #bloodrunnethOrange</p> Rep. Jeff Duncan (@RepJeffDuncan) <a href='https://twitter.com/RepJeffDuncan/status/518479278422650881'>2014-10-04 15:14:27</a></blockquote>",5.18479E+17,From: Jeffrey Duncan (Representative from South Carolina),,twitter,"Here's to hoping Clemson Tigers can show as much ""Get after it"" today vs NCState! Go Tigers! #Clemson #tigerfootball #bloodrunnethOrange",Jeffrey Duncan,Duncan,R
737,766193222,False,finalized,1,8/4/15 21:18,national,1.0,neutral,1.0,information,1.0,,,,T000250,"<blockquote class=""twitter-tweet"" width=""450""><p>Today marks 50th anniversary of MLKÛªs ÛÏI have a Dream.Û MLK visited Sioux Falls in '61. His interview w/ @keloland: http://t.co/jSKmhsT4MI</p> Senator John Thune (@SenJohnThune) <a href='https://twitter.com/SenJohnThune/status/372743067151110147'>2013-08-28 11:30:47</a></blockquote>",3.72743E+17,From: John Thune (Senator from South Dakota),,twitter,Today marks 50th anniversary of MLKÛªs ÛÏI have a Dream.Û MLK visited Sioux Falls in '61. His interview w/ @keloland: http://t.co/jSKmhsT4MI,John Thune,Thune,R
738,766193223,False,finalized,1,8/4/15 21:03,national,1.0,neutral,1.0,attack,1.0,,,,P000197,"<blockquote class=""twitter-tweet"" width=""450""><p>Chairman @DarrellIssaÛªs decision to silence a fellow Member of Congress was outrageous &amp; disrespectful...not how the House should be run.</p> Nancy Pelosi  (@NancyPelosi) <a href='https://twitter.com/NancyPelosi/status/441649940218277888'>2014-03-06 14:02:05</a></blockquote>",4.4165E+17,From: Nancy Pelosi (Representative from California),,twitter,Chairman @DarrellIssaÛªs decision to silence a fellow Member of Congress was outrageous &amp; disrespectful...not how the House should be run.,Nancy Pelosi,Pelosi,D
740,766193225,False,finalized,1,8/4/15 21:17,national,1.0,partisan,1.0,policy,1.0,,,,P000601,"<blockquote class=""twitter-tweet"" width=""450""><p>IÛªve fought devastating defense cuts for 2 years b/c they threaten to put tens of thousands of soldiers out of work:http://t.co/IVO1qW1sdZ</p> Cong. Steven Palazzo (@CongPalazzo) <a href='https://twitter.com/CongPalazzo/status/413450394862247936'>2013-12-18 18:27:10</a></blockquote>",4.1345E+17,From: Steven Palazzo (Representative from Mississippi),,twitter,IÛªve fought devastating defense cuts for 2 years b/c they threaten to put tens of thousands of soldiers out of work:http://t.co/IVO1qW1sdZ,Steven Palazzo,Palazzo,R
741,766193226,False,finalized,1,8/4/15 20:41,constituency,1.0,neutral,1.0,information,1.0,,,,B001286,"<blockquote class=""twitter-tweet"" width=""450""><p>Great news for manufacturing &amp; job creation in the Quad-Cities! http://t.co/OIkkHkHkl8 #MakeItInAmerica</p> Rep. Cheri Bustos (@RepCheri) <a href='https://twitter.com/RepCheri/status/384018016872062977'>2013-09-28 14:13:24</a></blockquote>",3.84018E+17,From: Cheri Bustos (Representative from Illinois),,twitter,Great news for manufacturing &amp; job creation in the Quad-Cities! http://t.co/OIkkHkHkl8 #MakeItInAmerica,Cheri Bustos,Bustos,D
742,766193227,False,finalized,1,8/4/15 21:13,constituency,1.0,neutral,1.0,information,1.0,,,,M001190,"<blockquote class=""twitter-tweet"" width=""450""><p>Had great conversation with administrators at the John Paul Scroggins Conference Center in Valliant. http://t.co/neQnM2VisF</p> Markwayne Mullin (@RepMullin) <a href='https://twitter.com/RepMullin/status/426903039765917696'>2014-01-24 21:23:10</a></blockquote>",4.26903E+17,From: Markwayne Mullin (Representative from Oklahoma),,twitter,Had great conversation with administrators at the John Paul Scroggins Conference Center in Valliant. http://t.co/neQnM2VisF,Markwayne Mullin,Mullin,R
745,766193230,False,finalized,1,8/4/15 21:21,constituency,1.0,neutral,1.0,personal,1.0,,,,R000580,"<blockquote class=""twitter-tweet"" width=""450""><p>VIDEO ASK PETER: Folks back home are having serious problems w #ACA website. Learn how to protect yourself here: http://t.co/pkurRWxXAz</p> Peter Roskam (@PeterRoskam) <a href='https://twitter.com/PeterRoskam/status/394923829681610752'>2013-10-28 16:29:12</a></blockquote>",3.94924E+17,From: Peter Roskam (Representative from Illinois),,twitter,VIDEO ASK PETER: Folks back home are having serious problems w #ACA website. Learn how to protect yourself here: http://t.co/pkurRWxXAz,Peter Roskam,Roskam,R
746,766193231,False,finalized,1,8/4/15 20:37,national,1.0,neutral,1.0,policy,1.0,,,,R000583,"<blockquote class=""twitter-tweet"" width=""450""><p>As cosponsor of #HR36, glad House is forming select committee to investigate #Benghazi, Admin's response &amp; seek justice for victims #pjnet</p> Tom Rooney (@TomRooney) <a href='https://twitter.com/TomRooney/status/462267705769623552'>2014-05-02 12:29:44</a></blockquote>",4.62268E+17,From: Tom Rooney (Representative from Florida),,twitter,"As cosponsor of #HR36, glad House is forming select committee to investigate #Benghazi, Admin's response &amp; seek justice for victims #pjnet",Tom Rooney,Rooney,R
747,766193232,False,finalized,1,8/5/15 6:16,national,1.0,neutral,1.0,personal,1.0,,,,C001084,"<blockquote class=""twitter-tweet"" width=""450""><p>Today at 2pm @davidcicilline will discuss human rights in Nigeria during @HFACDemocrats hearing http://t.co/zaxhAJVwi1</p> Cicilline Office (@RepCicilline) <a href='https://twitter.com/RepCicilline/status/487263076069416960'>2014-07-10 11:52:24</a></blockquote>",4.87263E+17,From: David Cicilline (Representative from Rhode Island),,twitter,Today at 2pm @davidcicilline will discuss human rights in Nigeria during @HFACDemocrats hearing http://t.co/zaxhAJVwi1,David Cicilline,Cicilline,D
748,766193233,False,finalized,1,8/4/15 20:51,national,1.0,partisan,1.0,policy,1.0,,,,A000367,"<blockquote class=""twitter-tweet"" width=""450""><p>Good intentions don't justify violating rights secured by the Constitution. That's WHY we have a Constitution.</p> Justin Amash (@repjustinamash) <a href='https://twitter.com/repjustinamash/status/346628843639013380'>2013-06-17 10:02:11</a></blockquote>",3.46629E+17,From: Justin Amash (Representative from Michigan),,twitter,Good intentions don't justify violating rights secured by the Constitution. That's WHY we have a Constitution.,Justin Amash,Amash,R
749,766193234,False,finalized,1,8/4/15 21:18,national,1.0,neutral,1.0,support,1.0,,,,B001243,"<blockquote class=""twitter-tweet"" width=""450""><p>Thanks to @RepMikeRogers for cosponsoring HR 2809. #DelayDefund</p> Marsha Blackburn (@MarshaBlackburn) <a href='https://twitter.com/MarshaBlackburn/status/380375814354636800'>2013-09-18 13:00:35</a></blockquote>",3.80376E+17,From: Marsha Blackburn (Representative from Tennessee),,twitter,Thanks to @RepMikeRogers for cosponsoring HR 2809. #DelayDefund,Marsha Blackburn,Blackburn,R
750,766193235,False,finalized,1,8/4/15 21:10,national,1.0,partisan,1.0,support,1.0,,,,C001075,"<blockquote class=""twitter-tweet"" width=""450""><p>Revenue sharing is critical and my House-passed bill is waiting for action: http://t.co/lmcD1vnzkl #LASEN</p> Bill Cassidy (@BillCassidy) <a href='https://twitter.com/BillCassidy/status/459799158493577217'>2014-04-25 17:00:36</a></blockquote>",4.59799E+17,From: Bill Cassidy (Representative from Louisiana),,twitter,Revenue sharing is critical and my House-passed bill is waiting for action: http://t.co/lmcD1vnzkl #LASEN,Bill Cassidy,Cassidy,R
752,766193237,False,finalized,2,8/4/15 21:20,national,0.5479,neutral,1.0,information,0.5479,,,,V000129,"<blockquote class=""twitter-tweet"" width=""450""><p>Attending the State of the Union with @RepSwalwell. http://t.co/lDbQwdrb</p> Rep. David Valadao (@RepDavidValadao) <a href='https://twitter.com/RepDavidValadao/status/301522330679648256'>2013-02-12 21:45:00</a></blockquote>",3.01522E+17,From: David Valadao (Representative from California),,twitter,Attending the State of the Union with @RepSwalwell. http://t.co/lDbQwdrb,David Valadao,Valadao,R
753,766193238,False,finalized,1,8/4/15 20:07,national,1.0,partisan,1.0,attack,1.0,,,,G000386,"<blockquote class=""twitter-tweet"" width=""450""><p>When will Wash start work to control spending? Deal failed 2 do so&amp; President made clear he wants more tax increases. Yet prob is spending</p> ChuckGrassley (@ChuckGrassley) <a href='https://twitter.com/ChuckGrassley/status/286169578692816896'>2013-01-01 12:58:39</a></blockquote>",2.8617E+17,From: Charles Grassley (Senator from Iowa),,twitter,When will Wash start work to control spending? Deal failed 2 do so&amp; President made clear he wants more tax increases. Yet prob is spending,Charles Grassley,Grassley,R
754,766193239,False,finalized,1,8/4/15 20:43,constituency,1.0,neutral,1.0,support,1.0,,,,S001187,"<blockquote class=""twitter-tweet"" width=""450""><p>Had a great telephone townhall with constituents of #OH15 last night. Thank you to all those who participated! http://t.co/0ceqSOmiNv</p> Steve Stivers (@RepSteveStivers) <a href='https://twitter.com/RepSteveStivers/status/430736542659661825'>2014-02-04 11:16:09</a></blockquote>",4.30737E+17,From: Steve Stivers (Representative from Ohio),,twitter,Had a great telephone townhall with constituents of #OH15 last night. Thank you to all those who participated! http://t.co/0ceqSOmiNv,Steve Stivers,Stivers,R
755,766193240,False,finalized,1,8/4/15 20:59,national,1.0,partisan,1.0,attack,1.0,,,,B000589,"<blockquote class=""twitter-tweet"" width=""450""><p>This is significant: http://t.co/4n2pk40BvC</p> Speaker John Boehner (@SpeakerBoehner) <a href='https://twitter.com/SpeakerBoehner/status/482617655703384064'>2014-06-27 16:13:10</a></blockquote>",4.82618E+17,From: John Boehner (Representative from Ohio),,twitter,This is significant: http://t.co/4n2pk40BvC,John Boehner,Boehner,R
757,766193242,False,finalized,1,8/4/15 20:09,national,1.0,neutral,1.0,policy,1.0,,,,S001175,"<blockquote class=""twitter-tweet"" width=""450""><p>Stop Harming Our Kids #SHOK resolution urges states to end harmful and discredited sexual orientation change efforts http://t.co/W7ykl79BJS</p> Jackie Speier (@RepSpeier) <a href='https://twitter.com/RepSpeier/status/408617183661412352'>2013-12-05 10:21:43</a></blockquote>",4.08617E+17,From: Jackie Speier (Representative from California),,twitter,Stop Harming Our Kids #SHOK resolution urges states to end harmful and discredited sexual orientation change efforts http://t.co/W7ykl79BJS,Jackie Speier,Speier,D
758,766193243,False,finalized,1,8/4/15 21:12,national,1.0,partisan,1.0,support,1.0,,,,D000622,"<blockquote class=""twitter-tweet"" width=""450""><p>Yesterday, @ElaineNekritz and I held a roundtable on #SNAP and #hunger. Great to hear from our community about their needs. #AWP2013...</p> Tammy Duckworth (@RepDuckworth) <a href='https://twitter.com/RepDuckworth/status/369884371215736833'>2013-08-20 14:11:20</a></blockquote>",3.69884E+17,From: Tammy Duckworth (Representative from Illinois),,twitter,"Yesterday, @ElaineNekritz and I held a roundtable on #SNAP and #hunger. Great to hear from our community about their needs. #AWP2013...",Tammy Duckworth,Duckworth,D
759,766193244,False,finalized,1,8/4/15 20:09,constituency,1.0,partisan,1.0,policy,1.0,,,,P000607,"<blockquote class=""twitter-tweet"" width=""450""><p>GOP jobs failure continues to hurt Wisconsin middle-class working families-#WI ranked 37th in job creation last year.
http://t.co/54Ac3aO0zL</p> U.S. Rep. Mark Pocan (@repmarkpocan) <a href='https://twitter.com/repmarkpocan/status/479988688366370816'>2014-06-20 10:06:35</a></blockquote>",4.79989E+17,From: Mark Pocan (Representative from Wisconsin),,twitter,"GOP jobs failure continues to hurt Wisconsin middle-class working families-#WI ranked 37th in job creation last year.
http://t.co/54Ac3aO0zL",Mark Pocan,Pocan,D
761,766193246,False,finalized,1,8/4/15 20:16,national,1.0,partisan,1.0,policy,1.0,,,,C001056,"<blockquote class=""twitter-tweet"" width=""450""><p>RT @MeganMitchell: .@johncornyn to @PressSec Not only is this legislation necessary itÛªs the moral obligation of this nation</p> JohnCornyn (@JohnCornyn) <a href='https://twitter.com/JohnCornyn/status/388388327038390272'>2013-10-10 15:39:27</a></blockquote>",3.88388E+17,From: John Cornyn (Senator from Texas),,twitter,RT @MeganMitchell: .@johncornyn to @PressSec Not only is this legislation necessary itÛªs the moral obligation of this nation,John Cornyn,Cornyn,R
762,766193247,False,finalized,2,8/4/15 20:38,national,0.5085,partisan,0.5085,policy,1.0,,,,B000575,"<blockquote class=""twitter-tweet"" width=""450""><p>Talking with agricultural leaders at @AmericanRoyal in #KC abt the need to repeal the death tax &amp; protect food safety.</p> Senator Roy Blunt (@RoyBlunt) <a href='https://twitter.com/RoyBlunt/status/317704206528167936'>2013-03-29 14:26:00</a></blockquote>",3.17704E+17,From: Roy Blunt (Senator from Missouri),,twitter,Talking with agricultural leaders at @AmericanRoyal in #KC abt the need to repeal the death tax &amp; protect food safety.,Roy Blunt,Blunt,R
763,766193248,False,finalized,1,8/4/15 21:06,national,1.0,neutral,1.0,support,1.0,,,,R000486,"<blockquote class=""twitter-tweet"" width=""450""><p>Spkr Boehner should join Dems to put #middleclassfirst, not waste tax dollars on #GOPLawsuit. http://t.co/hIiyrJRPSQ http://t.co/I8ecfWZJ8v</p> Rep Roybal-Allard (@RepRoybalAllard) <a href='https://twitter.com/RepRoybalAllard/status/494108801696800768'>2014-07-29 09:14:53</a></blockquote>",4.94109E+17,From: Lucille Roybal-Allard (Representative from California),,twitter,"Spkr Boehner should join Dems to put #middleclassfirst, not waste tax dollars on #GOPLawsuit. http://t.co/hIiyrJRPSQ http://t.co/I8ecfWZJ8v",Lucille Roybal-Allard,Roybal-Allard,D
764,766193249,False,finalized,1,8/4/15 20:32,national,1.0,neutral,1.0,personal,1.0,,,,K000360,"<blockquote class=""twitter-tweet"" width=""450""><p>My prayers are w/ families of 4 innocent Israelis - incl. 3 American citizens - murdered by terrorists today in Jerusalem. #StandWithIsrael</p> Mark Kirk (@SenatorKirk) <a href='https://twitter.com/SenatorKirk/status/534830278796382208'>2014-11-18 17:07:29</a></blockquote>",5.3483E+17,From: Mark Kirk (Senator from Illinois),,twitter,My prayers are w/ families of 4 innocent Israelis - incl. 3 American citizens - murdered by terrorists today in Jerusalem. #StandWithIsrael,Mark Kirk,Kirk,R
765,766193250,False,finalized,1,8/4/15 21:22,national,1.0,partisan,1.0,attack,1.0,,,,B001283,"<blockquote class=""twitter-tweet"" width=""450""><p>Let's defund Obamacare's state exchanges and Medicaid expansion in the continuing resolution.
http://t.co/b7Kskj3VEE
#tcot</p> Jim Bridenstine (@RepJBridenstine) <a href='https://twitter.com/RepJBridenstine/status/305773790669991936'>2013-02-24 15:18:47</a></blockquote>",3.05774E+17,From: Jim Bridenstine (Representative from Oklahoma),,twitter,"Let's defund Obamacare's state exchanges and Medicaid expansion in the continuing resolution.
http://t.co/b7Kskj3VEE
#tcot",Jim Bridenstine,Bridenstine,R
766,766193251,False,finalized,1,8/4/15 20:48,national,1.0,partisan,1.0,policy,1.0,,,,S001181,"<blockquote class=""twitter-tweet"" width=""450""><p>On Senate floor: these #sugar reforms save taxpayers money - CBO estimates that reforms would save $82 million over the next 10 years</p> Sen. Jeanne Shaheen (@SenatorShaheen) <a href='https://twitter.com/SenatorShaheen/status/337222658947153921'>2013-05-22 11:05:21</a></blockquote>",3.37223E+17,From: Jeanne Shaheen (Senator from New Hampshire),,twitter,On Senate floor: these #sugar reforms save taxpayers money - CBO estimates that reforms would save $82 million over the next 10 years,Jeanne Shaheen,Shaheen,D
768,766193253,False,finalized,1,8/4/15 20:52,national,1.0,neutral,1.0,media,1.0,,,,C001091,"<blockquote class=""twitter-tweet"" width=""450""><p>Looking fwd to our conversation this morning on @ThisWeekABC. #SanAntonio tune in to @ksatnews at 9 am CST http://t.co/7ouxnhFyp3</p> Joaquin Castro  (@JoaquinCastrotx) <a href='https://twitter.com/JoaquinCastrotx/status/348784190147420160'>2013-06-23 08:46:45</a></blockquote>",3.48784E+17,From: Joaquin Castro (Representative from Texas),,twitter,Looking fwd to our conversation this morning on @ThisWeekABC. #SanAntonio tune in to @ksatnews at 9 am CST http://t.co/7ouxnhFyp3,Joaquin Castro,Castro,D
